,Decarbonization_pathway,Energy_tax,Plant_number,Coal_plants_shutdown,Total_emissions,Normalized_emissions,Normalized_emission_change,IRR,NPV,Energy_usage_change,Direct_emissions_change,Indirect_emissions_change,Emissions_change
0,1,2,2,1,160.5742856454758,0.053152693030610994,-0.07151382534173886,5.180752839887596,182672111.84500253,2821151.3371984996,-374.9210343876574,224.87664564462654,-150.0443887430309
1,2,2,4,1,9.90889838123763,0.036163862705246824,-0.0826682363648026,0.07065245722747937,8583647.92432806,46202.44496378211,-32.85642219759618,14.44468524250454,-18.411736955091655
2,0,0,1,0,267.93960311069384,0.10931848352129492,-0.002199586237105533,0.0,-1.4817342162132263e-06,-81850.11635445135,-4.904183968353719,-0.4917733711193222,-5.395957339473042
3,0,2,4,1,31.65870442114315,0.11554271686548595,-0.0032893822045634707,0.0,312004.7268877389,-11789.023506864727,-0.9550628545893999,0.07610942987614319,-0.8789534247132567
4,0,0,3,0,52.292316174934015,0.059423086562425016,-0.0011782166043746364,3.2357956027180483,8.149072527885437e-10,-13593.407144611312,0.0,-1.046989111405666,-1.046989111405666
5,0,2,3,1,24.643490198231117,0.02800396613435354,-0.00028568896237787106,0.0,7.566995918750763e-10,-13593.407144611312,0.0,-0.35584212436564633,-0.35584212436564633
6,3,2,2,1,156.29064469493454,0.051734738396204745,-0.07293177997614511,0.9672337621786335,230283993.00490814,-525838.4650222713,-294.38160383643907,104.81750817640305,-189.56409566003606
7,0,1,3,1,32.857986930974825,0.037338621512471394,-0.0003809186165038281,0.9593931366146882,6.984919309616089e-10,-13593.407144611312,0.0,-0.47445616582086186,-0.47445616582086186
8,0,1,1,0,263.02723710253053,0.10731425422379867,-0.0021598472000763924,0.0,-1.6819685697555542e-06,-81850.11635445135,-4.904183968353719,-0.3934186968954577,-5.297602665249178
9,0,1,3,0,41.83385293994722,0.04753846924994003,-0.0009425732834997119,0.0,8.149072527885437e-10,-13593.407144611312,0.0,-0.8375912891245327,-0.8375912891245327
10,3,2,4,1,29.859013185529506,0.10897450067711498,-0.009857598392934444,-0.06964816468787571,-704574.2109249175,163590.0656469995,-8.004634659831115,7.506825175505047,-0.4978094843260695
11,0,0,4,1,30.731379587814203,0.11215831966355548,-0.0031585497701619863,0.0,245467.3522907244,-11789.023506864727,-0.9550628545893999,0.12684904979357203,-0.8282138047958278
12,2,2,2,1,101.45848706201157,0.03358440485336364,-0.09108211351898622,0.5006980779980228,278204735.5326481,-1488413.3242450296,-346.141969659458,100.46967369399607,-245.67229596546198
13,0,2,1,0,258.1148710943672,0.1053100249263024,-0.0021201081630472796,0.0,-1.885928213596344e-06,-81850.11635445135,-4.904183968353719,-0.2950640226715933,-5.199247991025314
14,0,2,3,0,31.375389704960405,0.035653851937455,-0.0007069299626247874,0.0,7.566995918750763e-10,-13593.407144611312,0.0,-0.6281934668433994,-0.6281934668433994
15,2,2,1,1,91.81697951454625,0.037461027953711236,-0.06860798526297035,0.18308418212103694,112267388.99148887,511690.9597638209,-248.28195703823087,113.40773643927854,-134.87422059895235
16,0,0,4,0,30.176531692026366,0.11013332734316192,-0.0026762771521256917,0.0,243764.6641498271,-11789.023506864727,-0.9550628545893999,0.22393566949857172,-0.7311271850908283
17,0,1,4,1,31.195042004478676,0.11385051826452071,-0.0032239659873627424,0.0,278736.0395892317,-11789.023506864727,-0.9550628545893999,0.10147923983485763,-0.8535836147545421
18,0,2,4,0,31.32579568367045,0.11432772147324982,-0.0030000186337416634,0.0,310241.84880013403,-11789.023506864727,-0.9550628545893999,0.13436140169914298,-0.8207014528902571
19,0,1,4,0,30.751163687848408,0.11223052440820587,-0.0028381478929336706,0.0,277003.25647498097,-11789.023506864727,-0.9550628545893999,0.17914853559885738,-0.7759143189905426
20,0,2,2,1,207.704820148077,0.06875366439856902,-0.055912853973780846,0.0,209297003.01028138,-1771697.7298152589,-190.30598452760694,30.280151591594333,-160.0258329360126
21,1,2,4,1,23.221420273465995,0.08474970902724815,-0.03408239004280127,-0.09391501461845753,-4456499.5003230795,810420.464137505,-34.00475452572597,34.91267412821592,0.9079196024899433
22,0,2,1,1,254.95288127194294,0.10401994339940553,-0.002049069817276053,0.0,-1.8961727619171143e-06,-81850.11635445135,-4.904183968353719,-0.1671399245505162,-5.071323892904236
